,PC,PC,RA,RA,SA1,SA1,FiringRate_value,Spikes_n_items,Spikes_diff_mean,depth,Pin_Radius,Spikes_diff_time_inrange,Spikes_diff_mean_2,Spikes_diff_mean_5,Frequency
13,1,1,0,0,0,0,24.14,38,0.07996666666666667,0.8500000000000005,1.2500000000000009,0.3998,0.07996666666666667,0.19993333333333335,25
14,0,0,1,1,0,0,23.67,45,0.0815720930232558,1.480000000000001,1.1700000000000008,0.4422,0.0815720930232558,0.20498499999999997,65
15,1,1,0,0,0,0,85.8,124,0.023488524590163932,1.260000000000001,1.0550000000000006,0.11520000000000001,0.023488524590163932,0.05876302521008404,85
16,1,1,0,0,0,0,33.9,36,0.05708823529411764,2.0500000000000016,0.4150000000000001,0.28479999999999994,0.05708823529411764,0.1427741935483871,35
17,0,0,1,1,0,0,99.25,183,0.019906077348066296,0.48000000000000015,1.2250000000000008,0.1078,0.019906077348066296,0.04960112359550562,65
18,1,1,0,0,0,0,45.4,85,0.04436385542168675,1.2300000000000009,0.4500000000000001,0.2194,0.04436385542168675,0.1110025,45
19,0,0,1,1,0,0,78.3,146,0.02516388888888889,0.5700000000000003,1.4950000000000012,0.13219999999999998,0.02516388888888889,0.06271773049645389,95
20,0,0,1,1,0,0,6.34,11,0.25973333333333337,1.440000000000001,1.310000000000001,1.4024,0.25973333333333337,0.6446333333333333,15
21,1,1,0,0,0,0,295.0,511,0.006774066797642437,0.31,0.8750000000000004,0.04239999999999999,0.006774066797642437,0.016922529644268772,75
22,1,1,0,0,0,0,15.33,27,0.13252,0.7100000000000004,1.0600000000000007,0.6502,0.13252,0.33236363636363636,15
23,1,1,0,0,0,0,224.4,230,0.00888859649122807,0.5600000000000003,0.8450000000000004,0.0434,0.00888859649122807,0.022205333333333334,75
24,1,1,0,0,0,0,243.8,390,0.008118556701030927,1.2000000000000008,0.315,0.0574,0.008118556701030927,0.020185974025974024,85
25,1,1,0,0,0,0,22.23,30,0.08565714285714288,1.8100000000000014,0.335,0.4276,0.08565714285714288,0.214184,35
26,0,0,1,1,0,0,232.5,328,0.008521472392638035,0.4100000000000001,0.6250000000000002,0.0538,0.008521472392638035,0.02119876160990712,95
27,1,1,0,0,0,0,74.9,146,0.026640277777777777,1.7200000000000013,1.425000000000001,0.1312,0.026640277777777777,0.06663120567375887,75
28,0,0,1,1,0,0,22.39,33,0.08527096774193547,0.6200000000000003,0.8550000000000004,0.5188,0.08527096774193547,0.20682857142857144,15
29,1,1,0,0,0,0,98.8,123,0.019798347107438018,0.8100000000000005,0.6100000000000003,0.1138,0.019798347107438018,0.049101694915254235,35
30,1,1,0,0,0,0,161.2,176,0.011959770114942526,1.0300000000000007,0.5550000000000002,0.078,0.011959770114942526,0.029590643274853803,85
31,1,1,0,0,0,0,35.0,65,0.05608253968253968,0.5600000000000003,0.8300000000000005,0.2768,0.05608253968253968,0.13989,25
32,0,0,1,1,0,0,40.75,55,0.04702264150943397,1.7000000000000013,1.0150000000000006,0.235,0.04702264150943397,0.11759599999999999,85
33,0,0,1,1,0,0,41.0,49,0.04699148936170213,1.7100000000000013,0.325,0.23419999999999996,0.04699148936170213,0.11752727272727272,85
34,1,1,0,0,0,0,149.6,263,0.0133088122605364,0.7200000000000004,0.7850000000000004,0.0628,0.0133088122605364,0.03329767441860465,75
35,1,1,0,0,0,0,105.0,201,0.019073366834170855,0.48000000000000015,0.46500000000000014,0.09240000000000001,0.019073366834170855,0.0476173469387755,35
36,1,1,0,0,0,0,31.19,39,0.06162162162162162,1.7000000000000013,0.36000000000000004,0.3072,0.06162162162162162,0.1539176470588235,65
37,0,0,1,1,0,0,63.5,93,0.030771428571428585,0.6300000000000003,0.49500000000000016,0.15360000000000001,0.030771428571428585,0.07691818181818182,65
38,1,1,0,0,0,0,176.9,318,0.011167721518987341,0.36000000000000004,0.47000000000000014,0.065,0.011167721518987341,0.02781405750798722,45
39,1,1,0,0,0,0,48.0,57,0.04006181818181818,1.390000000000001,1.440000000000001,0.2036,0.04006181818181818,0.10004230769230768,75
40,1,1,0,0,0,0,189.2,208,0.010528155339805825,0.8500000000000005,1.0600000000000007,0.0548,0.010528155339805825,0.026307389162561576,95
41,0,0,1,1,0,0,26.83,42,0.07204999999999999,2.1200000000000014,0.8850000000000005,0.3752,0.07204999999999999,0.1798,75
42,0,0,1,1,0,0,21.12,29,0.08670370370370367,1.9200000000000015,1.0150000000000006,0.4492,0.08670370370370367,0.2137,85
43,1,1,0,0,0,0,127.06,157,0.015512258064516128,1.0400000000000007,0.36500000000000005,0.08320000000000001,0.015512258064516128,0.03857631578947368,65
44,1,1,0,0,0,0,283.2,548,0.0070454212454212455,0.8300000000000005,0.8450000000000004,0.0394,0.0070454212454212455,0.017576427255985266,95
45,1,1,0,0,0,0,33.22,50,0.05765416666666667,2.0900000000000016,1.3050000000000008,0.2812,0.05765416666666667,0.14468444444444445,85
