,PC,RA,SA1,FiringRate_value,Spikes_n_items,Spikes_diff_mean,depth,Pin_Radius,Spikes_diff_time_inrange,Frequency
10315,0,1,0,12.11,18,0.07848235294117646,1.7200000000000013,1.1950000000000007,0.8442000000000001,45
10316,0,1,0,61.7,73,0.01569444444444444,0.6800000000000004,0.6300000000000003,0.16240000000000002,85
10317,0,1,0,39.06,46,0.02501333333333333,0.9600000000000006,1.2100000000000009,0.24939999999999996,65
10318,1,0,0,127.9,152,0.007735099337748343,0.8100000000000005,0.5300000000000002,0.0832,65
10319,1,0,0,94.94,136,0.010505185185185187,2.2200000000000015,0.8100000000000005,0.1028,95
10320,0,1,0,34.66,46,0.028111111111111108,1.0700000000000007,0.49500000000000016,0.29279999999999995,75
10321,1,0,0,85.7,149,0.01173918918918919,1.1700000000000008,0.6950000000000003,0.11520000000000001,85
10322,0,1,0,3.877,6,0.13108,1.5500000000000012,1.2000000000000008,-1.0,55
10323,0,1,0,14.33,23,0.06657272727272727,0.8900000000000006,0.8500000000000005,0.6661999999999999,15
10324,1,0,0,16.02,19,0.06528888888888888,1.0500000000000007,1.0400000000000007,0.6498,15
10325,1,0,0,35.22,57,0.028482142857142855,1.0600000000000007,0.9700000000000006,0.2824,35
10326,0,1,0,4.043,8,0.22305714285714284,1.9200000000000015,1.2550000000000008,-1.0,45
10327,1,0,0,74.3,120,0.013327731092436974,2.3200000000000016,1.1900000000000008,0.1326,75
10328,1,0,0,23.81,25,0.03995,2.270000000000002,0.7200000000000004,0.3998,25
10329,1,0,0,211.1,336,0.004733731343283582,0.6200000000000003,1.2650000000000008,0.0496,95
10330,1,0,0,250.1,363,0.00397403314917127,0.47000000000000014,1.0900000000000007,0.048999999999999995,85
10331,1,0,0,88.1,122,0.01127107438016529,0.8400000000000005,1.315000000000001,0.1204,45
10332,1,0,0,42.53,69,0.02317058823529412,2.0900000000000016,0.35000000000000003,0.2302,65
10333,0,1,0,41.62,82,0.02351358024691358,0.8700000000000006,0.5750000000000002,0.23399999999999999,85
10334,1,0,0,95.4,188,0.010510160427807487,1.6900000000000013,1.465000000000001,0.10300000000000001,95
10335,1,0,0,95.7,146,0.010504827586206897,0.7900000000000005,0.9850000000000005,0.1032,95
10336,1,0,0,35.4,66,0.02843692307692308,2.0100000000000016,1.1750000000000007,0.27819999999999995,35
10337,0,1,0,56.78,70,0.017066666666666664,0.8200000000000005,0.7550000000000003,0.1714,75
10338,0,1,0,31.03,59,0.031020689655172413,0.9600000000000006,0.9950000000000006,0.31099999999999994,35
10339,1,0,0,74.3,148,0.01333061224489796,2.5900000000000016,1.335000000000001,0.1328,75
